Employee Id,First Name,Last Name,Preferred First Name,Email,Secondary Email,Phone Number,Username,Password,Hire Date,Birth Date,Role,Country Code,Supervisor Id,Group Name,Langauge,#Affiliation
001,46th,Earth King,,,,,,,,,,,,,,Air
002,Aang,,,,,,,,,,,,,,,Air
003,Afiko,,,,,,,,,,,,,,,Air
004,Air,Acolyte woman,,,,,,,,,,,,,,Fire
005,Air,Nomad boy,,,,,,,,,,,,,,Air
006,Aiwei,,,,,,,,,,,,,,,Air
007,Amon,,,,,,,,,,,,,,,None
008,Analay,,,,,,,,,,,,,,,Water
009,Animal,control officer,,,,,,,,,,,,,,None
010,Appa,,,,,,,,,,,,,,,
011,Appa's,mother,,,,,,,,,,,,,,Air
012,Arik,,,,,,,,,,,,,,,Air
013,Arnook,,,,,,,,,,,,,,,Air
014,Asami,Sato,,,,,,,,,,,,,,Water
015,Ashuna,,,,,,,,,,,,,,,None
016,Aye-aye,spirit,,,,,,,,,,,,,,
017,Azula,,,,,,,,,,,,,,,None
018,Azula's,ship captain,,,,,,,,,,,,,,Fire
019,Azulon,,,,,,,,,,,,,,,Fire
020,Ba,Sing Se airship captain,,,,,,,,,,,,,,Fire
021,Ba,Sing Se airship co-pilot,,,,,,,,,,,,,,Fire
022,Ba,Sing Se University student,,,,,,,,,,,,,,Air
023,Baatar,,,,,,,,,,,,,,,Air
024,Baatar,Jr.,,,,,,,,,,,,,,None
025,Baboon,spirit,,,,,,,,,,,,,,None
026,Banished,servant,,,,,,,,,,,,,,Earth
027,Baraz,and Ahnah,,,,,,,,,,,,,,None
028,Bathroom,attendant,,,,,,,,,,,,,,Fire
029,Bato,,,,,,,,,,,,,,,
030,The,Big Bad Hippo,,,,,,,,,,,,,,Earth
031,Bolin,,,,,,,,,,,,,,,Water
032,Boma,,,,,,,,,,,,,,,Earth
033,Bosco,,,,,,,,,,,,,,,Fire
034,The,Boulder,,,,,,,,,,,,,,
035,Broadsword,man,,,,,,,,,,,,,,Earth
036,Bujing,,,,,,,,,,,,,,,Earth
037,Bully,guard,,,,,,,,,,,,,,Earth
038,Bum-Ju,,,,,,,,,,,,,,,Fire
039,Bumi,,,,,,,,,,,,,,,Fire
040,Bumi's,advisor,,,,,,,,,,,,,,None
041,Butakha,,,,,,,,,,,,,,,Air
042,Butler,,,,,,,,,,,,,,,Earth
043,Buttercup,Raiko,,,,,,,,,,,,,,
044,Cabbage,merchant,,,,,,,,,,,,,,
045,Calm,man,,,,,,,,,,,,,,None
046,Cam,,,,,,,,,,,,,,,None
047,Canyon,guide,,,,,,,,,,,,,,Earth
048,Captured,agent,,,,,,,,,,,,,,Earth
